vm,vc,ts,sp,id,hot,rad,,,
3,14.45988196,491,10,25,28.66017555,27.89807239,,,
3,14.46332378,491.1,10,25,28.65895399,27.89678194,,,
3,14.46673106,491.2,10,25,28.65773281,27.89549263,,,
3,14.47010411,491.3,10,25,28.656512,27.89420444,,,
3,14.47344327,491.4,10,25,28.65529157,27.89291738,,,
3,14.47674884,491.5,10,25,28.65407152,27.89163144,,,
3,14.48002115,491.6,10,25,28.65285187,27.89034663,,,
3,14.48326049,491.7,10,25,28.6516326,27.88906295,,,
3,14.48646717,491.8,10,25,28.65041374,27.88778038,,,
3,14.4896415,491.9,10,25,28.64919528,27.88649893,,,
3,14.49278379,492,10,25,28.64797723,27.8852186,,,
3,14.49589432,492.1,10,25,28.64675959,27.88393938,,,
3,14.4989734,492.2,10,25,28.64554237,27.88266128,,,
3,14.50202132,492.3,10,25,28.64432558,27.88138428,,,
3,14.50503837,492.4,10,25,28.64310921,27.8801084,,,
3,14.50802483,492.5,10,25,28.64189327,27.87883362,,,
3,14.510981,492.6,10,25,28.64067777,27.87755995,,,
3,14.51390714,492.7,10,25,28.63946271,27.87628739,,,
3,14.51680356,492.8,10,25,28.6382481,27.87501592,,,
3,14.51967051,492.9,10,25,28.63703394,27.87374556,,,
3,14.52250828,493,10,25,28.63582023,27.87247629,,,
3,14.52531713,493.1,10,25,28.63460698,27.87120812,,,
3,14.52809735,493.2,10,25,28.6333942,27.86994105,,,
3,14.53084918,493.3,10,25,28.63218188,27.86867507,,,
3,14.53357291,493.4,10,25,28.63097003,27.86741018,,,
3,14.53626878,493.5,10,25,28.62975866,27.86614638,,,
3,14.53893707,493.6,10,25,28.62854777,27.86488367,,,
3,14.54157803,493.7,10,25,28.62733736,27.86362204,,,
3,14.5441919,493.8,10,25,28.62612744,27.8623615,,,
3,14.54677896,493.9,10,25,28.62491801,27.86110204,,,
3,14.54933944,494,10,25,28.62370908,27.85984367,,,
3,14.55187359,494.1,10,25,28.62250064,27.85858637,,,
3,14.55438166,494.2,10,25,28.62129271,27.85733015,,,
3,14.5568639,494.3,10,25,28.62008529,27.85607501,,,
3,14.55932053,494.4,10,25,28.61887837,27.85482094,,,
3,14.56175181,494.5,10,25,28.61767197,27.85356795,,,
3,14.56415797,494.6,10,25,28.61646609,27.85231603,,,
3,14.56653925,494.7,10,25,28.61526073,27.85106517,,,
3,14.56889587,494.8,10,25,28.61405589,27.84981539,,,
3,14.57122806,494.9,10,25,28.61285159,27.84856667,,,
3,14.57353606,495,10,25,28.61164781,27.84731902,,,
3,14.57582009,495.1,10,25,28.61044457,27.84607243,,,
3,14.57808037,495.2,10,25,28.60924187,27.8448269,,,
3,14.58031713,495.3,10,25,28.60803971,27.84358243,,,
3,14.58253059,495.4,10,25,28.6068381,27.84233903,,,
3,14.58472095,495.5,10,25,28.60563704,27.84109667,,,
3,14.58688845,495.6,10,25,28.60443653,27.83985538,,,
3,14.58903328,495.7,10,25,28.60323657,27.83861514,,,
3,14.59115568,495.8,10,25,28.60203717,27.83737595,,,
3,14.59325583,495.9,10,25,28.60083834,27.83613781,,,
3,14.59533396,496,10,25,28.59964006,27.83490072,,,
3,14.59739026,496.1,10,25,28.59844236,27.83366468,,,
3,14.59942494,496.2,10,25,28.59724523,27.83242969,,,
3,14.60143821,496.3,10,25,28.59604867,27.83119574,,,
3,14.60343026,496.4,10,25,28.59485269,27.82996284,,,
